Name,Math,Science,English,History,Art
Student1,81,70,63,65,100
Student2,90,57,94,74,64
Student3,86,58,70,93,69
Student4,97,83,69,88,64
Student5,87,75,63,99,87
Student6,50,80,96,82,99
Student7,66,54,62,86,69
Student8,85,56,90,65,90
Student9,75,94,81,71,77
Student10,67,52,99,74,63
Student11,95,59,56,87,98
Student12,55,59,87,82,57
Student13,74,98,96,77,72
Student14,79,50,94,97,68
Student15,58,96,69,61,90
Student16,85,59,93,77,66
Student17,97,75,77,73,75
Student18,63,62,57,58,85
Student19,97,52,60,77,71
Student20,52,99,82,67,85
Student21,89,81,71,97,73
Student22,94,78,99,77,57
Student23,85,72,65,53,55
Student24,63,58,52,69,61
Student25,83,86,53,54,95
Student26,94,74,85,66,78
Student27,50,97,83,85,76
Student28,61,77,69,70,50
Student29,64,99,100,67,78
Student30,54,55,93,52,54
Student31,77,94,63,82,72
Student32,89,62,82,63,92
Student33,86,84,60,74,86
Student34,66,54,81,52,85
Student35,86,84,62,57,99
Student36,59,74,71,72,69
Student37,99,50,72,99,77
Student38,57,78,79,79,74
Student39,59,70,97,88,91
Student40,66,83,73,68,94
Student41,82,67,51,51,98
Student42,93,65,100,62,58
Student43,50,73,86,61,50
Student44,57,53,75,71,87
Student45,77,58,73,57,92
Student46,95,74,69,56,80
Student47,73,52,81,80,63
Student48,76,77,73,60,63
Student49,55,51,59,79,52
Student50,84,76,71,62,78
Student51,87,90,62,88,81
Student52,90,67,74,71,60
Student53,84,67,72,98,97
Student54,50,63,59,93,70
Student55,73,80,53,97,55
Student56,92,97,72,73,81
Student57,50,88,56,64,67
Student58,50,63,52,88,99
Student59,70,98,78,73,98
Student60,84,74,82,69,100
Student61,54,93,81,94,94
Student62,63,97,81,99,65
Student63,60,73,53,71,55
Student64,100,59,81,54,80
Student65,59,62,64,60,78
Student66,85,57,90,54,99
Student67,100,53,86,69,87
Student68,88,69,82,59,77
Student69,61,88,90,65,57
Student70,59,74,67,77,95
Student71,86,65,81,55,98
Student72,78,60,86,64,99
Student73,84,81,81,70,70
Student74,58,93,77,72,80
Student75,87,68,84,68,94
Student76,89,75,73,53,79
Student77,91,84,54,65,71
Student78,75,71,54,58,86
Student79,71,82,81,78,53
Student80,79,50,75,77,63
Student81,58,51,70,70,81
Student82,57,81,75,69,78
Student83,58,96,56,99,88
Student84,92,71,63,84,92
Student85,72,98,51,66,99
Student86,97,66,98,91,93
Student87,65,91,78,86,85
Student88,98,68,79,92,55
Student89,80,98,62,58,92
Student90,90,97,75,97,53
Student91,81,98,91,93,59
Student92,59,55,89,75,85
Student93,77,93,76,59,90
Student94,99,58,94,92,55
Student95,95,65,71,57,76
Student96,58,65,87,86,91
Student97,92,54,55,82,88
Student98,80,73,86,97,71
Student99,51,88,54,55,63
Student100,66,63,51,54,94
Student101,83,96,89,70,53
Student102,68,76,56,91,56
Student103,66,79,73,64,65
Student104,78,82,53,84,90
Student105,65,83,57,76,99
Student106,64,70,88,81,51
Student107,90,66,50,81,53
Student108,86,77,57,55,94
Student109,94,61,95,84,80
Student110,77,65,63,53,78
Student111,60,55,100,82,56
Student112,98,84,51,55,74
Student113,83,89,54,92,61
Student114,60,81,82,80,85
Student115,59,88,97,63,58
Student116,69,99,66,62,67
Student117,71,92,61,55,54
Student118,99,55,86,84,77
Student119,63,76,74,85,54
Student120,88,50,70,72,76
Student121,67,57,59,56,71
Student122,93,99,56,80,87
Student123,74,60,68,81,81
Student124,65,80,76,96,76
Student125,61,85,77,63,63
Student126,98,93,60,68,88
Student127,52,65,78,85,56
Student128,89,64,72,56,72
Student129,57,63,85,78,60
Student130,59,94,84,93,94
Student131,71,62,51,69,88
Student132,64,86,53,63,54
Student133,77,86,83,61,89
Student134,67,99,92,96,92
Student135,80,85,58,95,78
Student136,73,56,84,57,57
Student137,74,95,69,69,78
Student138,90,83,90,97,54
Student139,70,79,76,78,68
Student140,70,87,76,67,80
Student141,82,66,64,75,65
Student142,69,51,72,82,94
Student143,75,78,50,83,78
Student144,95,59,62,80,100
Student145,58,69,62,87,82
Student146,53,89,50,93,73
Student147,100,73,98,86,54
Student148,90,54,61,99,91
Student149,64,91,69,56,70
Student150,99,69,76,77,52
Student151,89,63,75,87,76
Student152,76,92,69,96,60
Student153,68,71,58,60,50
Student154,53,67,95,65,60
Student155,90,77,99,66,65
Student156,60,75,64,91,68
Student157,55,82,62,88,67
Student158,65,81,71,92,52
Student159,50,99,88,64,54
Student160,84,61,56,100,63
Student161,92,94,73,52,54
Student162,64,51,72,52,55
Student163,57,83,66,61,95
Student164,58,87,64,88,82
Student165,96,60,80,74,85
Student166,78,89,82,57,94
Student167,58,96,82,53,60
Student168,97,76,60,91,97
Student169,99,59,99,77,61
Student170,50,57,90,62,72
Student171,66,52,86,89,67
Student172,81,95,84,51,81
Student173,74,69,86,97,67
Student174,87,52,80,88,70
Student175,87,88,65,57,99
Student176,96,82,77,85,74
Student177,89,85,86,80,88
Student178,60,96,71,86,71
Student179,65,75,50,62,77
Student180,86,56,98,91,100
Student181,69,79,57,86,82
Student182,73,69,67,99,51
Student183,90,74,73,86,59
Student184,72,97,55,98,70
Student185,72,98,86,75,84
Student186,76,60,53,63,79
Student187,85,84,80,71,87
Student188,83,89,62,68,85
Student189,92,60,52,93,79
Student190,80,81,95,99,52
Student191,59,95,66,50,68
Student192,98,87,74,52,97
Student193,98,97,69,93,68
Student194,57,56,68,83,84
Student195,88,74,98,60,94
Student196,84,78,76,80,80
Student197,95,87,98,57,87
Student198,95,73,76,92,58
Student199,79,89,85,74,88
Student200,74,51,84,66,58
Student201,79,62,52,90,91
Student202,100,59,68,63,63
Student203,52,61,53,62,53
Student204,66,58,58,80,71
Student205,62,77,85,82,90
Student206,72,73,79,81,64
Student207,51,66,82,52,94
Student208,51,57,64,93,84
Student209,76,76,53,55,90
Student210,96,57,51,69,54
Student211,72,73,64,82,71
Student212,62,68,71,66,73
Student213,98,62,76,78,59
Student214,89,57,75,99,60
Student215,76,59,56,79,92
Student216,87,78,69,76,90
Student217,80,58,76,100,54
Student218,95,88,85,62,63
Student219,62,69,71,67,97
Student220,73,68,87,82,97
Student221,55,92,54,51,74
Student222,84,77,96,92,53
Student223,62,61,95,67,77
Student224,82,61,54,85,76
Student225,64,84,58,66,58
Student226,92,73,85,95,90
Student227,60,60,70,65,69
Student228,50,54,88,74,85
Student229,58,92,100,85,92
Student230,81,92,95,98,69
Student231,62,58,86,74,54
Student232,79,71,81,87,84
Student233,71,89,60,56,51
Student234,87,86,53,55,95
Student235,96,71,73,87,76
Student236,72,97,71,87,100
Student237,53,85,69,64,79
Student238,71,79,92,88,68
Student239,59,60,95,60,57
Student240,95,55,74,79,79
Student241,92,97,69,83,66
Student242,73,54,89,70,73
Student243,92,98,88,73,59
Student244,81,94,58,87,84
Student245,54,88,50,69,93
Student246,71,90,53,52,60
Student247,71,86,75,52,83
Student248,90,98,53,52,82
Student249,74,94,70,68,100
Student250,92,61,72,86,85
Student251,79,88,86,54,71
Student252,81,92,69,89,58
Student253,58,59,58,53,70
Student254,90,77,96,71,82
Student255,70,100,64,76,94
Student256,100,90,55,56,51
Student257,94,72,88,61,77
Student258,98,72,78,91,81
Student259,96,77,68,70,87
Student260,88,80,65,97,50
Student261,53,91,81,78,57
Student262,100,71,67,96,86
